id	lon	lat
12	126.3167	36.5333
96	131.8698	37.2395
116	126.964	37.4453
144	126.7834	36.0123
160	129	35.1188
175	126.3238	34.4721
229	125.5595	36.6254
230	126.103	37.2645
296	128.9602	35.2178
300	126.3151	35.858
301	126.1199	35.087
302	126.1593	34.6647
303	125.0972	34.0725
304	126.8485	34.318
305	126.9201	33.9862
306	127.8011	34.4319
307	127.4496	34.2437
308	126.073	34.687
309	126.6866	37.9464
310	129.2647	37.3247
311	128.0867	35.7892
312	129.1413	36.3931
313	128.7413	34.8821
314	127.7431	35.8662
315	127.5108	35.3067
316	126.9974	35.1144
317	127.1142	35.7295
318	128.6705	37.6434
319	130.8708	37.5373
320	128.3138	38.331
321	128.1963	38.1147
322	127.6857	38.2316
323	127.5255	38.2727
324	128.0745	36.9102
325	128.0253	37.1445
326	127.6113	37.5455
327	127.512	36.6503
328	126.406	33.2494
329	126.5655	33.4473
330	126.6495	33.5008
350	128.4956	37.9953
376	126.8589	37.4472
377	126.8919	37.3952
379	127.5463	35.5405
400	127.0816	37.4982
401	127.026	37.4846
402	127.145	37.5555
403	127.0967	37.5115
404	126.8295	37.5739
405	126.8782	37.5296
406	127.0295	37.6661
407	127.0919	37.6219
408	127.0604	37.5846
409	127.0868	37.5855
410	126.9174	37.4933
411	126.9292	37.5517
412	126.9408	37.5705
413	127.0857	37.5338
414	126.9994	37.6117
415	126.9761	37.5204
416	126.9426	37.6465
417	126.9002	37.4655
418	126.939	37.5249
419	126.9874	37.5524
420	126.957	37.616
421	127.0389	37.5472
422	126.9844	37.6034
423	126.827	37.494
424	127.0258	37.6397
425	126.9815	37.4635
426	124.6305	37.9661
427	126.6734	37.6428
428	127.2128	37.5512
433	126.7636	37.5006
434	126.9589	37.3916
437	126.8653	37.4787
438	126.9353	37.3615
441	126.7624	37.6076
444	127.2137	37.5379
445	126.9688	37.3445
446	127.0637	37.1403
450	126.8312	37.6582
493	127.0081	36.7362
494	127.2406	36.5315
495	127.1625	36.9806
496	127.2688	36.4585
497	128.8515	37.5752
498	128.5145	37.8793
499	127.0235	38.1361
500	126.4702	37.6657
501	125.6982	37.6589
502	126.2916	37.7894
503	126.7119	37.908
504	127.1807	37.8704
505	127.3454	37.8244
506	126.7769	37.7482
507	127.1436	38.0248
508	126.3609	37.4665
509	126.9502	37.4528
510	126.9071	37.5271
511	126.6351	37.5675
512	126.6621	37.3968
513	126.145	37.2272
514	126.5787	37.2377
515	126.7739	37.0845
516	127.2502	37.0037
517	128.4745	38.3854
518	128.1211	38.2696
519	127.5194	38.0755
520	128.5182	38.1671
521	128.6026	38.1437
522	127.9838	37.7871
523	128.8214	37.8985
524	128.9248	37.7858
525	128.3773	37.6123
526	128.3947	37.3775
527	128.6413	37.2111
528	124.7124	37.974
529	129.2859	37.1416
530	130.8118	37.5151
531	127.5522	37.8981
532	127.0735	37.7348
533	127.4807	37.3278
534	127.6106	37.121
535	128.1827	37.717
536	127.9724	37.4876
537	128.8459	37.4832
538	127.103	38.1725
539	127.3657	38.0242
540	126.892	37.6373
541	127.1506	37.6341
542	127.3802	37.6841
543	126.5496	37.499
544	126.6544	37.1857
545	126.8385	37.281
546	127.2592	37.4353
547	127.7549	37.4159
548	127.6396	37.2688
549	127.2218	37.2701
550	127.0487	37.1879
551	127.1088	36.9877
